time,type,x,y
2025-07-08 16:45:00, predict,370.39,263.15
2025-07-08 16:45:00, predict,370.39,263.15
2025-07-08 16:45:01, realtime,391.49,263.19
2025-07-08 16:45:01, realtime,391.49,263.19
2025-07-08 16:45:01, predict,391.49,263.19
2025-07-08 16:45:02, predict,391.49,263.19
2025-07-08 16:45:02, predict,370.36,263.25
2025-07-08 16:45:02, predict,370.36,263.25
2025-07-08 16:45:03, realtime,391.49,263.08
2025-07-08 16:45:03, realtime,391.49,263.08
2025-07-08 16:45:03, predict,391.49,263.08
2025-07-08 16:45:04, predict,391.49,263.08
2025-07-08 16:45:04, predict,370.42,263.21
2025-07-08 16:45:04, predict,370.42,263.21
2025-07-08 16:45:05, realtime,391.54,262.72
2025-07-08 16:45:05, realtime,391.54,262.72
2025-07-08 16:45:05, predict,391.54,262.72
2025-07-08 16:45:06, predict,391.54,262.72
2025-07-08 16:45:06, predict,370.13,262.68
2025-07-08 16:45:06, predict,370.13,262.68
2025-07-08 16:45:07, realtime,391.59,262.74
2025-07-08 16:45:07, predict,391.59,262.74
2025-07-08 16:45:08, predict,369.92,262.86
2025-07-08 16:45:08, realtime,391.63,262.81
2025-07-08 16:45:09, predict,391.63,262.81
2025-07-08 16:45:09, predict,369.71,262.87
2025-07-08 16:45:10, realtime,391.74,261.92
2025-07-08 16:45:10, predict,391.74,261.92
2025-07-08 16:45:11, predict,369.45,262.35
2025-07-08 16:45:11, realtime,391.83,261.14
2025-07-08 16:45:11, predict,391.83,261.14
2025-07-08 16:45:12, predict,369.34,261.26
2025-07-08 16:45:12, realtime,391.81,260.96
2025-07-08 16:45:12, predict,391.81,260.96
2025-07-08 16:45:13, predict,368.73,261.14
2025-07-08 16:45:13, realtime,391.85,261.01
